CCAA;CIUDAD;Num_Documentos;Fecha_Inicio;Ultima_Actualizacion;Licencia;Compartir?;Transformar?;Uso con fin comercial?;Gratis?;FORMATO MÁQUINA;FORMATO MAPA;SIN FORMATO;ACTUALIZADO;CATEGORIA;DATASET;% Categoria en Catalogo;Creado;Frecuencia;NOTA PORTAL
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;16/02/2015;MEDIO AMBIENTE;Papereres;31,35%;28/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Arbratge Monumental;31,35%;24/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Dutxes en les platges;31,35%;14/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Rellotges amb termòmetre;31,35%;28/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Llavapeus de les platges;31,35%;14/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Passarel·les de les platges;31,35%;14/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Fonts d’aigua pública;31,35%;14/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;MEDIO AMBIENTE;Xarxa de vigilància de la contaminació atmosfèrica;31,35%;27/10/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;MEDIO AMBIENTE;Mapa Soroll Nit (23-7h);31,35%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;MEDIO AMBIENTE;Mapa Soroll Vesprada (19-23h);31,35%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;MEDIO AMBIENTE;Mapa Soroll LDen 24 h;31,35%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;MEDIO AMBIENTE;Mapa Soroll Dia (7h-19h);31,35%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;22/06/2017;URBANISMO;Obres executades;16,94%;23/06/2017;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;16/01/2017;URBANISMO;Quioscos de premsa;16,94%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;15/02/2016;URBANISMO;Mobiliari Informatiu;16,94%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/01/2014;URBANISMO;Illa de cases cadastrals amb dades de població;16,94%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Divisió administrativa dels districtes municipals;16,94%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Divisió de les seccions censals de la ciutat;16,94%;28/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Divisió administrativa dels barris municipals;16,94%;24/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Hidrants per a les preses dels bombers;16,94%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Embornals existents en la ciutat de valència;16,94%;24/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;PGOU - Alineacions;16,94%;22/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;PGOU - Calificacions;16,94%;22/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Textos dels carrers;16,94%;27/10/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Eixos lineals dels carrers;16,94%;27/10/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Textos dels portals dels carrers;16,94%;28/10/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Quioscos de flors;16,94%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;URBANISMO;Macroilles;16,94%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;12/05/2015;URBANISMO;Llistat dels carrers;16,94%;29/04/2015;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/06/2013;URBANISMO;Guia;16,94%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/01/2014;URBANISMO;Parcel·les cadastrals de rústica amb fitxa urbanística;16,94%;27/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/01/2014;URBANISMO;Parcel·les cadastrals d’urbana amb fitxa urbanística;16,94%;27/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/03/2017;CULTURA Y OCIO;Falles Monuments fallers;4,23%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/03/2017;CULTURA Y OCIO;Barraques de Falles;4,23%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/03/2017;CULTURA Y OCIO;Talls trànsit falles;4,23%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;05/05/2016;CULTURA Y OCIO;Equipaments Municipales;4,23%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;CULTURA Y OCIO;Monuments-turistics;4,23%;27/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;ECONOMIA;Relació de béns immobles;2,50%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;ECONOMIA;Relació de drets reals;2,50%;03/03/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;ECONOMIA;Resum de l’inventari general de béns i drets de la corporació;2,50%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;29/01/2016;EDUCACION;Àrees Escolarització;0,84%;24/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;0;1;20/03/2018;TRANSPORTE;Google Transit. Línies, parades, horaris d’autobusos de l'EMT de València;22,88%;10/06/2016;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;06/03/2018;TRANSPORTE;Semàfors;22,88%;06/05/2015;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;26/02/2018;TRANSPORTE;Reguladors que gestionen els grups semafòrics;22,88%;19/05/2015;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;26/02/2018;TRANSPORTE;Panels informatius;22,88%;28/10/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;26/02/2018;TRANSPORTE;Càmares de trànsit;22,88%;28/10/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;12/01/2018;TRANSPORTE;Sentits de circulació;22,88%;28/10/2014;6 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;21/12/2017;TRANSPORTE;Bol·lards extraïbles;22,88%;26/05/2017;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;15/09/2017;TRANSPORTE;Carril Bici;22,88%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;10/02/2017;TRANSPORTE;Aparcament nocturn en el carril bus;22,88%;10/02/2017;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;06/09/2016;TRANSPORTE;Estat trànsit temps real;22,88%;28/10/2014;Real;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;TRANSPORTE;Aparcament Mobilitat Reduïda;22,88%;24/10/2014;6 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;23/12/2015;TRANSPORTE;Intensitat dels punts de mesura de bicicletes (espires electromagnètiques);22,88%;23/11/2015;Real;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;02/10/2015;TRANSPORTE;Intensitat de trànsit per trams;22,88%;28/10/2014;Real;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;02/04/2015;TRANSPORTE;Guals;22,88%;11/05/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;TRANSPORTE;Aparcaments no regulats;22,88%;11/09/2015;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;TRANSPORTE;Zones de càrrega i descàrrega;22,88%;11/05/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;TRANSPORTE;Aparcament per a motos;22,88%;11/05/2015;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;TRANSPORTE;Parades de Taxis;22,88%;28/10/2014;6 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;06/07/2015;TRANSPORTE;Intensitat dels Punts de Mesura de Trànsit (Espires electromagnètiques);22,88%;14/11/2014;Real;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/06/2015;TRANSPORTE;Aparcabicis;22,88%;28/10/2014;6 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/12/2013;TRANSPORTE;Aparcaments de vehicles;22,88%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/12/2013;TRANSPORTE;Expendedors ORA;22,88%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/12/2013;TRANSPORTE;Aparcaments ORA;22,88%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;01/12/2013;TRANSPORTE;Recarrega vehicles elèctrics;22,88%;28/10/2014;3 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;TRANSPORTE;Parades EMT;22,88%;27/10/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;TRANSPORTE;Estacions de Valenbisi;22,88%;28/10/2014;Real;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;12/05/2015;TRANSPORTE;Relació dels punts de mesura amb les càmeres de trànsit;22,88%;14/11/2014;1 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Populus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Morus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Quercus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Fraxinus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Ligustrum;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Ulmus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Platanus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Pinus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Olea;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Cupressus;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;20/06/2017;SALUD;Mapa Pol·len Casuarina;12,71%;31/10/2014;2 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;SALUD;Mapa Soroll Nit (23-7h);12,71%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;SALUD;Mapa Soroll Vesprada (19-23h);12,71%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;SALUD;Mapa Soroll LDen 24 h;12,71%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;1;0;01/05/2013;SALUD;Mapa Soroll Dia (7h-19h);12,71%;27/10/2014;5 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;SECTOR PUBLICO;Relació de béns immobles;4,23%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;SECTOR PUBLICO;Relació de drets reals;4,23%;03/03/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;SECTOR PUBLICO;Resum de l’inventari general de béns i drets de la corporació;4,23%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;0;0;1;09/06/2015;SECTOR PUBLICO;Catàleg de Dades Obertes;4,23%;10/11/2014;Diario;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SECTOR PUBLICO;Divisió administrativa de les juntes municipals;4,23%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;HACIENDA;Relació de béns immobles;2,54%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;HACIENDA;Relació de drets reals;2,54%;03/03/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;0;0;31/12/2015;HACIENDA;Resum de l’inventari general de béns i drets de la corporació;2,54%;27/02/2015;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SEGURIDAD;Hidrants per a les preses dels bombers;0,84%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;23/06/2017;SOCIEDAD Y BIENESTAR;Innosocial;22,03%;26/06/2017;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;05/05/2016;SOCIEDAD Y BIENESTAR;Equipaments Municipales;22,03%;27/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/09/2015;SOCIEDAD Y BIENESTAR;Aparcament Mobilitat Reduïda;22,03%;24/10/2014;6 Mes;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Rellotges amb termòmetre;22,03%;28/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Kioscos de l'ONCE;22,03%;28/10/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Punts Wifi;22,03%;28/10/2014;1 Año;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Recursos socials per a dones;22,03%;20/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Recursos socials dirigits a tota la població;22,03%;21/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Recursos socials per a persones sense sostre;22,03%;21/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Recursos socials per a presos i exreclusos;22,03%;21/11/2014;1 Semana;8,08
Comunidad Valenciana;Valencia;118;22/10/2014;20/03/2018;Creative Commons;true;true;true;true;1;1;0;25/05/2015;SOCIEDAD Y BIENESTAR;Recursos socials per al col·lectiu de persones immigrants;22,03%;21/11/2014;1 Semana;8,08
